h3,population_2020_x,GN,DS,District,PREPAID_ARPU,POSTPAID_ARPU,HBB_ARPU,bank_count,gas_station_count,pharmacy_count,school_count,grocery_or_supermarket_count,poi_count,Rural Urban Classifications,SEC breakdown,Revenue potential,CX_daytime,busy_hour,Busy day,Postal Code,lat,lng,geometry,k5cls
8861035b2bfffff,68.86444587,Retiyala,Bulathsinhala,Kalutara,300.1111111,1033.555556,552.0055461,0,0,0,0,0,0,0,0,0,37,6:00 PM,tue,LK1312095,6.664644471,80.13620709,"POLYGON ((80.14038418601085 6.661937292351449, 80.14050955702655 6.66697773730224, 80.13633239519763 6.66968484577439, 80.13203010296782 6.667351520237569, 80.13190487663536 6.662311278404408, 80.13608179785381 6.659604158985672, 80.14038418601085 6.661937292351449))",1
8861035ae3fffff,190.2097159,Thebuwana East,Dodangoda,Kalutara,314.4615385,1130.076923,807.1753662,0,0,0,0,0,0,0,0,0,101,6:00 PM,sun,LK1327050,6.607544695,80.05843278,"POLYGON ((80.06260659163256 6.604838374525818, 80.0627306121243 6.609876235212206, 80.05855673217579 6.612582485712304, 80.05425907287089 6.610250886533985, 80.05413519684616 6.605213229735782, 80.05830883566368 6.602506968222997, 80.06260659163256 6.604838374525818))",1
88611c8c3bfffff,2391.188667,Bendiyamulla East,Gampaha,Gampaha,321.5238095,1404.619048,674.8177508,2,0,1,2,1,6,0,0,0,"1,482",9:00 AM,mon,LK1224265,7.086544959,80.006545,"POLYGON ((80.01072340262319 7.083846927926023, 80.01084672331119 7.088888879814061, 80.00666824558884 7.091586836494457, 80.00236668944605 7.089242856268763, 80.00224351355058 7.084201109674192, 80.00642174900973 7.081503138007259, 80.01072340262319 7.083846927926023))",2
88611cba23fffff,5579.226363,Welikadamulla,Wattala,Gampaha,340.5679612,1575.883495,925.3374206,0,0,0,0,0,0,0,0,0,"3,457",12:00 PM,fri,LK1218175,7.000081023,79.90264877,"POLYGON ((79.90682262145715 6.997383975540567, 79.90694413372201 7.002422441153196, 79.90277021257282 7.005119414031216, 79.89847502209835 7.002777936294052, 79.89835365432386 6.997739676993876, 79.90252733253793 6.995042689113874, 79.90682262145715 6.997383975540567))",2
88611c175dfffff,887.3160414,Helakandana,Minuwangoda,Gampaha,312.969697,1302.393939,719.5355892,0,0,0,1,0,1,0,0,0,550,8:00 AM,wen,LK1215195,7.163581458,79.97447118,"POLYGON ((79.97864954749748 7.16088533204793, 79.97877234983072 7.165927290964751, 79.97459391152357 7.168623341615532, 79.97029291351748 7.166277449123482, 79.97017025597832 7.161235695983938, 79.97434845165557 7.158539629554589, 79.97864954749748 7.16088533204793))",3
88610349cbfffff,2549.118851,Honnanthara South,Kesbewa,Colombo,336.4854369,1646.902913,1324.895362,0,0,0,8,1,9,0,0,0,"1,799",6:00 PM,fri,LK1136275,6.794070677,79.94429177,"POLYGON ((79.94846428873132 6.791369590971209, 79.94858643296041 6.796406809775116, 79.94441384563373 6.799107822927793, 79.94011935638164 6.796771630438373, 79.93999735654533 6.791734617130752, 79.94416970157276 6.789033590811693, 79.94846428873132 6.791369590971209))",2
88611c953bfffff,757.9601046,Pinnawala South,Padukka,Colombo,334,1318.904762,689.7802683,1,0,0,2,0,3,0,0,0,535,6:00 PM,sat,LK1118010,6.869742218,80.12007411,"POLYGON ((80.12425337131727 6.867038401825349, 80.12437854754417 6.872080799536491, 80.12019921439342 6.874784543085926, 80.11589494606766 6.872445901527165, 80.11576991467679 6.867403707473067, 80.11994900678 6.864699951315964, 80.12425337131727 6.867038401825349))",3
886103590dfffff,45.89502353,Wagawatta,Ingiriya,Kalutara,302.125,1222.625,580.2519349,0,0,0,0,0,0,0,0,0,24,4:00 PM,mon,LK1310135,6.703379146,80.11594793,"POLYGON ((80.12012486854822 6.700672970572666, 80.12024990876849 6.705713372769858, 80.11607289623694 6.708419477592733, 80.11177108431714 6.706085191584969, 80.11164618877271 6.70104499280193, 80.11582296047658 6.698338876607769, 80.12012486854822 6.700672970572666))",1
88611c121bfffff,1074.843263,Wandurawa,Mirigama,Gampaha,310.027027,1305.810811,673.049698,0,0,0,1,0,1,0,0,0,666,6:00 PM,tue,LK1212585,7.167459625,80.06372903,"POLYGON ((80.06791037567189 7.164761565410697, 80.06803470556893 7.169805761243225, 80.06385329189381 7.172503746097266, 80.05954779026683 7.170157550343281, 80.05942360535803 7.165113559293416, 80.06360477709234 7.162415559210255, 80.06791037567189 7.164761565410697))",3
88611c8641fffff,2755.735857,Kurunduwatta,Homagama,Colombo,335.48,1519.76,800.9162949,1,0,0,3,0,4,0,0,0,"1,944",6:00 PM,tue,LK1112155,6.850522559,80.03895488,"POLYGON ((80.04313124675738 6.847820237616127, 80.04325502940107 6.852860429848889, 80.03907859388623 6.855562679196956, 80.03477861738369 6.853224749293044, 80.03465497938667 6.848184761595184, 80.03883117324989 6.845482499261675, 80.04313124675738 6.847820237616127))",2
88611c16d5fffff,3463.363082,Bandarawatta West,Katana,Gampaha,337.328125,1436.890625,637.695734,0,1,0,1,1,3,0,0,0,"2,146",11:00 AM,sat,LK1206350,7.122069116,79.88015009,"POLYGON ((79.88432479871032 7.119374454709953, 79.88444597334593 7.124413650322566, 79.88027119203626 7.127108235710616, 79.87597547939062 7.124763641555997, 79.87585444930771 7.119724652707472, 79.88002898732219 7.117030051244995, 79.88432479871032 7.119374454709953))",2
88611c95abfffff,1733.495758,Thunnana West,Seethawaka,Colombo,326.3939394,1368.151515,678.6929826,0,0,0,0,0,0,0,0,0,"1,223",8:00 AM,wen,LK1115330,6.878945954,80.08209187,"POLYGON ((80.08627001705742 6.876243108737535, 80.08639454781519 6.881284677898287, 80.08221633017291 6.8839874504949, 80.07791382313579 6.8816486668489, 80.0777894371422 6.876607301787727, 80.08196741342587 6.873904516268292, 80.08627001705742 6.876243108737535))",2
88611c865bfffff,699.6928973,Mawathgama,Homagama,Colombo,338.5079365,1583.507937,789.9251723,0,0,0,0,0,0,0,0,0,494,3:00 PM,thu,LK1112185,6.836496861,80.01315916,"POLYGON ((80.01733449205997 6.833794895852772, 80.01745782862824 6.838834295483682, 80.01328242183608 6.841536187624055, 80.00898392031084 6.839198693174157, 80.00886072832151 6.834159498343031, 80.01303589328288 6.831457593157388, 80.01733449205997 6.833794895852772))",3
88611c9547fffff,262.1450781,Waga South,Padukka,Colombo,330.25,1276.416667,630.907985,0,0,0,1,0,1,0,0,0,185,9:00 AM,tue,LK1118030,6.853150905,80.15363669,"POLYGON ((80.15781681993589 6.850446108242692, 80.15794256325059 6.855489141592491, 80.15376235850725 6.858193866791325, 80.14945665121273 6.855855570900635, 80.14933105278959 6.85081274080185, 80.15351101677373 6.84810800333798, 80.15781681993589 6.850446108242692))",1
8861034a03fffff,2995.734515,Rambukkana South,Bandaragama,Kalutara,321.25,1400.166667,628.6756839,0,0,0,0,0,0,0,0,0,"1,591",3:00 PM,fri,LK1306200,6.70930734,79.98037594,"POLYGON ((79.98454852597162 6.706604205739835, 79.98467125349319 6.71164134182274, 79.98049859297525 6.714344404683559, 79.97620344683133 6.712010343745825, 79.9760808637029 6.706973412607004, 79.98025328232961 6.704270337457205, 79.98454852597162 6.706604205739835))",2
88611c14c9fffff,1382.685129,Air Force Camp,Katana,Gampaha,334.9358974,1455.269231,652.8172843,0,0,0,0,0,0,0,0,0,857,1:00 PM,fri,LK1206205,7.167771317,79.8727688,"POLYGON ((79.87694386366584 7.165077534769357, 79.87706492965465 7.170117018067227, 79.87288979154305 7.17281072438133, 79.86859383086914 7.170464963862399, 79.86847290945863 7.16542568748471, 79.87264780414817 7.162731964701297, 79.87694386366584 7.165077534769357))",3
8861022615fffff,220.6600192,Kurupita,Agalawatta,Kalutara,311.6666667,1057.333333,612.3577765,0,0,0,0,0,0,0,0,0,117,6:00 PM,fri,LK1333140,6.487546482,80.2039438,"POLYGON ((80.20812075499362 6.484835308823348, 80.20824721278034 6.489875277762393, 80.20407018367412 6.492586382718638, 80.1997669365969 6.490257527896519, 80.19964062347418 6.485217760991472, 80.20381741276898 6.482506646869671, 80.20812075499362 6.484835308823348))",1
88610359cdfffff,1604.358534,Bellapitiya West,Madurawala,Kalutara,303,1282.4375,638.1002449,0,0,0,0,0,0,0,0,0,852,3:00 PM,fri,LK1315025,6.690118979,80.07319003,"POLYGON ((80.07736541047154 6.687413539365496, 80.0774897152077 6.692452738077315, 80.0733142692372 6.695158106545691, 80.06901475967625 6.692824287843335, 80.06889059951349 6.687785293002203, 80.07306580434262 6.685079912988032, 80.07736541047154 6.687413539365496))",2
88611c8059fffff,898.8942889,Ihala Kosgama South,Seethawaka,Colombo,327.35,1358.3,626.0802253,0,0,0,0,0,0,0,0,0,634,6:00 PM,wen,LK1115115,6.936911876,80.14297924,"POLYGON ((80.14716013418027 6.934208558423164, 80.14728572844071 6.939252257243845, 80.14310476800233 6.94195550196332, 80.13879845427761 6.939615060826376, 80.13867300496265 6.934571565518876, 80.14285372443125 6.931868307830409, 80.14716013418027 6.934208558423164))",3
8861035255fffff,278.4080446,Walagedara South,Matugama,Kalutara,313.4615385,989.0769231,651.0238799,0,0,0,0,0,0,0,0,0,148,8:00 AM,mon,LK1330265,6.425462404,80.0709072,"POLYGON ((80.07507902658762 6.422753204236002, 80.07520318887248 6.427789147287558, 80.07103129197019 6.430498278011846, 80.06673547354538 6.42817147522636, 80.0666114555886 6.423135735587986, 80.07078311173288 6.420426595317154, 80.07507902658762 6.422753204236002))",1
88611c100bfffff,463.6478866,Hangawatta,Divulapitiya,Gampaha,315.3157895,1227.263158,727.2154187,0,0,0,1,0,1,0,0,0,287,6:00 PM,tue,LK1209465,7.228341998,80.05673218,"POLYGON ((80.06091409460016 7.225645037235209, 80.06103832866631 7.230689678153395, 80.05685634210529 7.233386563358551, 80.05255036357079 7.231038823376371, 80.0524262745336 7.225994387416119, 80.05660801900636 7.223297486475485, 80.06091409460016 7.225645037235209))",1
88611c8841fffff,346.2120465,Alawala South,Attanagalla,Gampaha,293.9,1101.6,669.2710483,0,0,0,0,0,0,0,0,0,215,6:00 PM,thu,LK1227425,7.108989942,80.19402972,"POLYGON ((80.19821452895738 7.106288090708166, 80.19834106459386 7.111334869448479, 80.19415618602059 7.114036647062582, 80.18984501264384 7.11169165987272, 80.18971862221706 7.106645084353932, 80.19390325996163 7.103943292798705, 80.19821452895738 7.106288090708166))",1
88611c1365fffff,1621.006244,Bothale Pahalagama West,Mirigama,Gampaha,317.9,1184.85,1923.348521,0,0,0,0,0,0,0,0,0,"1,004",6:00 PM,fri,LK1212135,7.247375272,80.14645869,"POLYGON ((80.15064377805707 7.244676599441402, 80.15076955466651 7.249723627755328, 80.1465843953182 7.252422224770056, 80.14227370077836 7.250073808762584, 80.1421480694052 7.245026984426983, 80.14633298733992 7.242328372115873, 80.15064377805707 7.244676599441402))",0
